Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb,,,,,,,,,
--------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ref Name,Component,Value,Package,MPN,,,,,
U10,comparator,LM293DR,soic8,LM293DR,,,,,
U13,comparator,LM293DR,soic8,LM293DR,,,,,
U8,comparator,LM293DR,soic8,LM293DR,,,,,
U37,2.5v voltage regulator,LM4040C25IDBZR,SOT23,LM4040C25IDBZR,,,,,
U4,Quad 2 input NAND,,SOIC14,MC74HC00ADR2G,,,,,
U20,CAN Transceiver,MCP2551-I/SN,SOIC8,MCP2551-I/SN,,,,,
Q1,NPNTrans,MJD44H11T4,dpakStandard,MJD44H11T4,,,,,
Q4,NPNTrans,MJD44H11T4,dpakStandard,MJD44H11T5,,,,,
Q5,NPNTrans,MJD44H11T4,dpakStandard,MJD44H11T6,,,,,
Q10,NPNTrans,MJD44H11T4,dpakStandard,MJD44H11T7,,,,,
Q14,NPNTrans,MJD44H11T4,dpakStandard,MJD44H11T8,,,,,
Q8,NPNTrans,MJD44H11T4,dpakStandard,MJD44H11T9,,,,,
U32,op amp,,soic8,MCP6241T-E/SN,,,,,
U30,op amp,,soic8,MCP6241T-E/SN,,,,,
Q2,PNPTRANS,MJD45H11T4G,dpakStandard,MJD45H11T4G,,,,,
Q3,PNPTRANS,MJD45H11T4G,dpakStandard,MJD45H11T4G,,,,,
Q6,PNPTRANS,MJD45H11T4G,dpakStandard,MJD45H11T4G,,,,,
Q7,PNPTRANS,MJD45H11T4G,dpakStandard,MJD45H11T4G,,,,,
Q12,PNPTRANS,MJD45H11T4G,dpakStandard,MJD45H11T4G,,,,,
Q13,PNPTRANS,MJD45H11T4G,dpakStandard,MJD45H11T4G,,,,,
U36,schottky bridge rectifier,,SurfaceMount,CDBHM260L-HF,,,,,
U15,schottky bridge rectifier,,SurfaceMount,CDBHM260L-HF,,,,,
U17,schottky bridge rectifier,,SurfaceMount,CDBHM260L-HF,,,,,
U26,schottky bridge rectifier,,SurfaceMount,CDBHM260L-HF,,,,,
U28,schottky bridge rectifier,,SurfaceMount,CDBHM260L-HF,,,,,
U35,schottky bridge rectifier,,SurfaceMount,CDBHM260L-HF,,,,,
RELAY2,Relay SPST 1FormA,,User,G5Q-1A-EL-HA-VH DC24,,,,,
RELAY1,Relay SPST 1FormA,,User,G5Q-1A-EL-HA-VH DC24,,,,,
R62,resistor,1k,1206Standard,RK73H2BTTE1001F,,,,,
R38,resistor,1k,1206Standard,RK73H2BTTE1001F,,,,,
R39,resistor,1k,1206Standard,RK73H2BTTE1001F,,,,,
R40,resistor,1k,1206Standard,RK73H2BTTE1001F,,,,,
R41,resistor,1k,1206Standard,RK73H2BTTE1001F,,,,,
R42,resistor,1k,1206Standard,RK73H2BTTE1001F,,,,,
R44,resistor,1k,1206Standard,RK73H2BTTE1001F,,,,,
R45,resistor,1k,1206Standard,RK73H2BTTE1001F,,,,,
R18,resistor,1k,1206Standard,RK73H2BTTE1001F,,,,,
R25,resistor,1k,1206Standard,RK73H2BTTE1001F,,,,,
R60,resistor,1k,1206Standard,RK73H2BTTE1001F,,,,,
R84,resistor,1k,1206Standard,RK73H2BTTE1001F,,,,,
R105,resistor,2k,1206Standard,RC1206FR-072KL,,,,,
R106,resistor,2k,1206Standard,RC1206FR-072KL,,,,,
R108,resistor,2k,1206Standard,RC1206FR-072KL,,,,,
R19,resistor,2k,1206Standard,RC1206FR-072KL,,,,,
R22,resistor,2k,1206Standard,RC1206FR-072KL,,,,,
R27,resistor,2k,1206Standard,RC1206FR-072KL,,,,,
R29,resistor,2k,1206Standard,RC1206FR-072KL,,,,,
R113,resistor,2k,1206Standard,RC1206FR-072KL,,,,,
